,id,title,release_date,popularity,vote_average,vote_count
326,11104,Chungking Express,1994-07-14,34.954,7.965,1863
327,1059,The Hidden Fortress,1958-12-28,16.506,7.967,629
328,38286,Three Men and a Leg,1997-12-27,6.62,8.0,2082
329,18438,Castaway on the Moon,2009-05-14,14.057,7.963,677
330,627,Trainspotting,1996-02-23,25.518,7.962,9733
331,12104,Pink Floyd: The Wall,1982-07-14,18.082,7.96,1502
332,315465,The Boy and the Beast,2015-07-11,16.372,7.959,1491
333,14160,Up,2009-05-28,75.966,7.959,20431
334,19542,The Red Shoes,1948-09-06,13.631,8.0,671
335,70,Million Dollar Baby,2004-12-15,26.313,7.955,9688
336,447365,Guardians of the Galaxy Vol. 3,2023-05-03,112.697,8.0,7137
337,626332,Flamin' Hot,2023-03-11,30.932,7.956,689
338,237791,The Way He Looks,2014-04-10,12.688,8.0,942
339,37797,Whisper of the Heart,1995-07-15,24.768,8.0,2024
340,679,Aliens,1986-07-18,67.416,7.952,9947
341,745,The Sixth Sense,1999-08-06,51.858,7.951,11871
342,329,Jurassic Park,1993-06-11,56.021,7.952,16521
343,81,Nausicaä of the Valley of the Wind,1984-03-11,28.213,8.0,3650
344,160885,Tel chi el telùn,1999-05-12,4.164,7.95,323
345,3090,The Treasure of the Sierra Madre,1948-01-15,12.655,7.95,1218
346,961,The General,1926-12-25,14.77,7.95,1270
347,916224,Suzume,2022-11-11,36.948,7.9,1394
348,634649,Spider-Man: No Way Home,2021-12-15,182.787,7.949,20513
349,10386,The Iron Giant,1999-08-06,39.351,7.948,5672
350,9764,Dersu Uzala,1975-08-02,10.234,7.9,551
351,158445,Miracle in Cell No. 7,2013-01-23,17.192,7.947,445
352,28978,The Circus,1928-01-06,12.478,7.9,806
353,20803,Ivan Vasilyevich Changes His Profession,1973-09-17,8.997,7.9,358
354,149,Akira,1988-06-10,42.98,7.946,4308
355,6977,No Country for Old Men,2007-06-13,68.483,7.945,12183
356,15244,A Man Escaped,1956-11-11,10.203,7.9,545
357,5925,The Great Escape,1963-07-03,29.033,7.9,2584
358,1580,Rope,1948-03-11,12.424,7.944,2750
359,488623,Forgotten,2017-11-29,20.621,7.9,1137
360,11712,Sanjuro,1962-01-01,16.664,7.946,624
361,10997,Farewell My Concubine,1993-01-01,24.571,7.942,590
362,197,Braveheart,1995-05-24,66.196,7.941,10271
